Month,Oct-20,Oct-20,Oct-20,Oct-20,Sep-20,Sep-20,Sep-20,Sep-20,Aug-20,Aug-20,Aug-20,Aug-20,Aug-20,Jul-20,Jul-20,Jul-20,Jul-20,Jun-20,Jun-20,Jun-20,Jun-20,May-20,May-20,May-20,May-20,May-20,Apr-20,Apr-20,Apr-20,Apr-20,Mar-20,Mar-20,Mar-20,Mar-20,Feb-20,Feb-20,Feb-20,Feb-20,Feb-20,Jan-20,Jan-20,Jan-20,Jan-20,Dec-19,Dec-19,Dec-19,Dec-19,Dec-19,Nov-19,Nov-19,Nov-19,Nov-19,Oct-19,Oct-19,Oct-19,Oct-19,Sep-19,Sep-19,Sep-19,Sep-19,Sep-19,Aug-19,Aug-19,Aug-19,Aug-19,Jul-19,Jul-19,Jul-19,Jul-19,Jun-19,Jun-19,Jun-19,Jun-19,Jun-19,May-19,May-19,May-19,May-19,Apr-19,Apr-19,Apr-19,Apr-19,Mar-19,Mar-19,Mar-19,Mar-19,Mar-19,Feb-19,Feb-19,Feb-19,Feb-19,Jan-19,Jan-19,Jan-19,Jan-19,Dec-18,Dec-18,Dec-18,Dec-18,Dec-18,Nov-18,Nov-18,Nov-18,Nov-18,Oct-18,Oct-18,Oct-18,Oct-18,Sep-18,Sep-18,Sep-18,Sep-18,Sep-18,Aug-18,Aug-18,Aug-18,Aug-18,Jul-18,Jul-18,Jul-18,Jul-18,Jul-18,Jun-18,Jun-18,Jun-18,Jun-18,May-18,May-18,May-18,May-18,Apr-18,Apr-18,Apr-18,Apr-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Feb-18,Feb-18,Feb-18,Feb-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18
93.7FM, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 29,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
98.6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 29,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
ABBA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,000 ", -   ," 31,000 ", -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Akicha FM, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 26,000 "," 50,000 "," 31,000 "," 61,000 "," 94,000 "," 61,000 "," 90,000 "," 88,000 "," 89,000 "," 146,000 "," 150,000 "," 90,000 "," 111,000 "," 59,000 "," 89,000 "," 176,000 "," 230,000 "," 172,000 "," 87,000 "," 30,000 "," 30,000 "," 62,000 "," 28,000 "," 31,000 "," 31,000 "," 60,000 "," 56,000 "," 58,000 "," 89,000 "," 59,000 "," 28,000 "," 28,000 "," 32,000 "," 65,000 ", -   , -   ," 129,000 "," 31,000 "," 31,000 "," 92,000 "," 93,000 "," 30,000 "," 59,000 "," 54,000 "," 54,000 "," 86,000 ", -   ," 28,000 "," 204,000 "," 120,000 "," 62,000 "," 63,000 "," 93,000 "," 60,000 "," 90,000 "," 74,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Alpha Radio, -   , -   , -   , -   , -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   ," 50,000 "," 31,000 ", -   , -   ," 31,000 ", -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   ," 29,000 "," 29,000 ", -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 28,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amani FM," 181,000 "," 117,000 "," 166,000 "," 153,000 "," 61,000 "," 121,000 "," 61,000 "," 181,000 "," 120,000 ", -   ," 123,000 "," 247,000 "," 182,000 "," 244,000 "," 124,000 "," 153,000 "," 140,000 "," 56,000 "," 144,000 "," 176,000 "," 231,000 "," 176,000 "," 245,000 "," 263,000 "," 179,000 "," 60,000 "," 212,000 "," 90,000 "," 182,000 "," 90,000 "," 210,000 "," 90,000 "," 206,000 "," 179,000 "," 30,000 "," 120,000 "," 103,000 ", -   , -   , -   , -   ," 31,000 "," 60,000 ", -   , -   ," 29,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 29,000 ", -   , -   , -   , -   ," 34,000 ", -   , -   ," 31,000 ", -   , -   , -   , -   , -   ," 27,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 30,000 "," 29,000 ", -   ," 29,000 ", -   , -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 31,000 ", -   , -   , -   , -   , -   ," 119,000 "," 93,000 "," 150,000 "," 153,000 "," 117,000 "," 90,000 "
Angaaf Radio, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 198,000 "," 264,000 "," 432,000 "," 185,000 "," 91,000 "," 214,000 "," 243,000 "," 276,000 "," 248,000 "," 154,000 "," 244,000 "," 312,000 "," 291,000 "," 248,000 "," 376,000 "," 315,000 "," 187,000 "," 305,000 "," 179,000 "," 149,000 "," 277,000 "," 242,000 "," 177,000 "," 238,000 "," 147,000 "," 176,000 "," 243,000 "," 241,000 "," 213,000 "," 243,000 "," 261,000 "," 292,000 "," 145,000 "," 245,000 "," 245,000 "," 383,000 "," 324,000 "," 150,000 "," 245,000 "," 185,000 "," 285,000 "," 182,000 "," 190,000 "," 157,000 "," 126,000 "," 185,000 "," 271,000 "," 248,000 "," 124,000 "," 154,000 "," 339,000 "," 89,000 ", -   , -   , -   , -   , -   
Anguo FM," 211,000 "," 233,000 "," 133,000 "," 275,000 "," 212,000 "," 273,000 "," 367,000 "," 332,000 "," 270,000 "," 280,000 "," 429,000 "," 340,000 "," 363,000 "," 366,000 "," 247,000 "," 337,000 "," 224,000 "," 280,000 "," 403,000 "," 615,000 "," 289,000 "," 410,000 "," 521,000 "," 410,000 "," 566,000 "," 330,000 "," 424,000 "," 482,000 "," 365,000 "," 271,000 "," 241,000 "," 420,000 "," 206,000 "," 359,000 "," 415,000 "," 210,000 "," 232,000 "," 426,000 "," 308,000 "," 425,000 "," 375,000 "," 460,000 "," 421,000 "," 235,000 "," 268,000 "," 379,000 "," 482,000 "," 420,000 "," 443,000 "," 415,000 "," 445,000 "," 556,000 "," 345,000 "," 431,000 "," 377,000 "," 504,000 "," 420,000 "," 371,000 "," 386,000 "," 527,000 "," 429,000 "," 481,000 "," 564,000 "," 497,000 "," 741,000 "," 439,000 "," 360,000 "," 442,000 "," 159,000 "," 293,000 "," 169,000 "," 394,000 "," 451,000 "," 469,000 "," 562,000 "," 462,000 "," 466,000 "," 456,000 "," 530,000 "," 540,000 "," 215,000 "," 576,000 "," 486,000 "," 422,000 "," 350,000 "," 390,000 "," 432,000 "," 441,000 "," 374,000 "," 418,000 "," 418,000 "," 470,000 "," 381,000 "," 493,000 "," 339,000 "," 456,000 "," 520,000 "," 273,000 "," 368,000 "," 403,000 "," 401,000 "," 519,000 "," 530,000 "," 494,000 "," 465,000 "," 438,000 "," 504,000 "," 468,000 "," 428,000 "," 507,000 "," 387,000 "," 678,000 "," 514,000 "," 501,000 "," 417,000 "," 500,000 "," 352,000 "," 516,000 "," 691,000 "," 457,000 "," 487,000 "," 465,000 "," 584,000 "," 465,000 "," 460,000 "," 491,000 "," 434,000 "," 588,000 "," 482,000 "," 337,000 "," 709,000 "," 253,000 "," 303,000 "," 411,000 "," 409,000 "," 282,000 "," 339,000 "," 361,000 "," 372,000 "," 310,000 "," 399,000 "," 493,000 "," 148,000 "," 31,000 ", -   , -   , -   , -   
Anyole FM," 60,000 "," 29,000 "," 66,000 "," 31,000 "," 91,000 "," 61,000 "," 31,000 "," 30,000 ", -   ," 93,000 "," 31,000 "," 62,000 "," 91,000 "," 92,000 ", -   , -   ," 28,000 ", -   , -   , -   , -   , -   , -   ," 29,000 ", -   ," 60,000 ", -   , -   , -   ," 30,000 ", -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
ANYUOLA FM, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 30,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
